precision|recall|f1|pr_auc|detectados|tasa_detectada|variante|modelo|feature_principal|transformacion|latencia_ms|registros_test|fold|subpartida|registros_train|outlier_rate_test
1.0|1.0|1.0|1.0|3|0.03571428571428571|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|10.647499999322463|84|2|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|335|0.03571428571428571
0.0|0.0|0.0|0.03571428571428571|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|17.51429999967513|84|2|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|335|0.03571428571428571
0.8|1.0|0.8888888888888888|0.8|5|0.05952380952380952|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.531200001219986|84|3|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|335|0.047619047619047616
0.6666666666666666|1.0|0.8|0.6666666666666666|6|0.07142857142857142|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|10.266699999192497|84|3|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|335|0.047619047619047616
0.0|0.0|0.0|0.047619047619047616|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|17.136000000391505|84|3|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|335|0.047619047619047616
0.4444444444444444|1.0|0.6153846153846154|0.4444444444444444|9|0.10714285714285714|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.563900001012371|84|4|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|335|0.047619047619047616
0.5|1.0|0.6666666666666666|0.5|8|0.09523809523809523|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.362599999803933|84|4|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|335|0.047619047619047616
0.0|0.0|0.0|0.047619047619047616|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.770299998825067|84|4|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|335|0.047619047619047616
0.75|1.0|0.8571428571428571|0.75|4|0.04819277108433735|A_BASELINE|IQR sobre VU original|VU|sin transformacion|10.773200001494843|83|5|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|336|0.03614457831325301
0.75|1.0|0.8571428571428571|0.75|4|0.04819277108433735|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|10.070700000142097|83|5|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|336|0.03614457831325301
0.0|0.0|0.0|0.03614457831325301|1|0.012048192771084338|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|17.18350000010105|83|5|1005903000-MAIZ BLANCO (MAIZ GIGANTE DEL CUZCO)|336|0.03614457831325301
0.6666666666666666|1.0|0.8|0.6666666666666666|18|0.17142857142857143|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.81560000036552|105|1|1005904000-MAIZ MORADO|416|0.11428571428571428
0.6666666666666666|1.0|0.8|0.6666666666666666|18|0.17142857142857143|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|10.086399999636342|105|1|1005904000-MAIZ MORADO|416|0.11428571428571428
0.2|0.08333333333333333|0.11764705882352941|0.12142857142857141|5|0.047619047619047616|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|17.399399999703746|105|1|1005904000-MAIZ MORADO|416|0.11428571428571428
0.6875|1.0|0.8148148148148148|0.6875|16|0.15384615384615385|A_BASELINE|IQR sobre VU original|VU|sin transformacion|10.021000000051572|104|2|1005904000-MAIZ MORADO|417|0.10576923076923077
0.6875|1.0|0.8148148148148148|0.6875|16|0.15384615384615385|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.58110000101442|104|2|1005904000-MAIZ MORADO|417|0.10576923076923077
0.0|0.0|0.0|0.10576923076923077|2|0.019230769230769232|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.540700000405195|104|2|1005904000-MAIZ MORADO|417|0.10576923076923077
0.7857142857142857|0.9166666666666666|0.8461538461538461|0.7298534798534798|14|0.1346153846153846|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.921899998516892|104|3|1005904000-MAIZ MORADO|417|0.11538461538461539
0.8571428571428571|1.0|0.9230769230769231|0.8571428571428571|14|0.1346153846153846|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.610899998733657|104|3|1005904000-MAIZ MORADO|417|0.11538461538461539
