subpartida|variante|f1_promedio_subpartida|precision_promedio_subpartida|recall_promedio_subpartida|pr_auc_promedio_subpartida|folds|registros_test_total
1201900000-HABAS (POROTOS, FRIJOLES, FREJOLES) DE SOJA (SOYA), INC QUEBRANT, EXCEP. PARA SIEMBRA|C_WINS|0.0|0.0|0.0|0.14|5|50
1202420000-MANIES (CACAHETES, CACAHUATES) SIN CASCARA, INCLUSO QUEBRANTADOS, EXCEP. PARA SIEMBRA|A_BASELINE|0.0|0.0|0.0|0.0|5|65
1202420000-MANIES (CACAHETES, CACAHUATES) SIN CASCARA, INCLUSO QUEBRANTADOS, EXCEP. PARA SIEMBRA|B_LOG|0.0|0.0|0.0|0.0|5|65
1202420000-MANIES (CACAHETES, CACAHUATES) SIN CASCARA, INCLUSO QUEBRANTADOS, EXCEP. PARA SIEMBRA|C_WINS|0.0|0.0|0.0|0.0|5|65
1204009000-DEMAS SEMILLAS DE LINO, INCLUSO QUEBRANTADA EXCEPTO PARA SIEMBRA|A_BASELINE|0.2|0.2|0.2|0.2|5|64
1204009000-DEMAS SEMILLAS DE LINO, INCLUSO QUEBRANTADA EXCEPTO PARA SIEMBRA|B_LOG|0.2|0.2|0.2|0.2|5|64
1204009000-DEMAS SEMILLAS DE LINO, INCLUSO QUEBRANTADA EXCEPTO PARA SIEMBRA|C_WINS|0.0|0.0|0.0|0.0154|5|64
1207701000-SEMILLAS DE MELON PARA LA SIEMBRA|A_BASELINE|0.5214|0.3929|0.8|0.3519|5|262
1207701000-SEMILLAS DE MELON PARA LA SIEMBRA|B_LOG|0.7|0.54|1.0|0.54|5|262
1207701000-SEMILLAS DE MELON PARA LA SIEMBRA|C_WINS|0.0|0.0|0.0|0.0534|5|262
1207999900-DEMAS NUEZ Y ALMENDRA DE PALMA, INCLUSO QUEBRANTADOS, EXCEPTO PARA SIEMBRA|A_BASELINE|0.4457|0.5333|0.3833|0.3028|5|513
1207999900-DEMAS NUEZ Y ALMENDRA DE PALMA, INCLUSO QUEBRANTADOS, EXCEPTO PARA SIEMBRA|B_LOG|0.95|0.92|1.0|0.92|5|513
1207999900-DEMAS NUEZ Y ALMENDRA DE PALMA, INCLUSO QUEBRANTADOS, EXCEPTO PARA SIEMBRA|C_WINS|0.0|0.0|0.0|0.0331|5|513
1208100000-HARINA DE HABAS (POROTOS, FRIJOLES, FREJOLES) DE SOJA (SOYA)|A_BASELINE|1.0|1.0|1.0|1.0|5|47
1208100000-HARINA DE HABAS (POROTOS, FRIJOLES, FREJOLES) DE SOJA (SOYA)|B_LOG|1.0|1.0|1.0|1.0|5|47
1208100000-HARINA DE HABAS (POROTOS, FRIJOLES, FREJOLES) DE SOJA (SOYA)|C_WINS|0.0|0.0|0.0|0.1267|5|47
1208900000-DEMAS HARINA DE SEMILLAS O DE FRUTOS OLEAGINOSOS, EXC. LA HARINA DE MOSTAZA|A_BASELINE|0.0|0.0|0.0|0.0|5|120
1208900000-DEMAS HARINA DE SEMILLAS O DE FRUTOS OLEAGINOSOS, EXC. LA HARINA DE MOSTAZA|B_LOG|0.0|0.0|0.0|0.0|5|120
1208900000-DEMAS HARINA DE SEMILLAS O DE FRUTOS OLEAGINOSOS, EXC. LA HARINA DE MOSTAZA|C_WINS|0.0|0.0|0.0|0.0|5|120
1209914000-SEMILLAS DE LECHUGA (LACTUCA SATIVA), PARA SIEMBRA|A_BASELINE|0.7333|0.8|0.7|0.7472|5|43
1209914000-SEMILLAS DE LECHUGA (LACTUCA SATIVA), PARA SIEMBRA|B_LOG|0.96|0.9333|1.0|0.9333|5|43
1209914000-SEMILLAS DE LECHUGA (LACTUCA SATIVA), PARA SIEMBRA|C_WINS|0.0|0.0|0.0|0.2083|5|43
1209915000-SEMILLAS DE TOMATES (LICOPERSICUM SPP.), PARA SIEMBRA|A_BASELINE|0.0|0.0|0.0|0.0201|5|398
1209915000-SEMILLAS DE TOMATES (LICOPERSICUM SPP.), PARA SIEMBRA|B_LOG|0.6476|0.4967|1.0|0.4967|5|398
1209915000-SEMILLAS DE TOMATES (LICOPERSICUM SPP.), PARA SIEMBRA|C_WINS|0.0|0.0|0.0|0.0201|5|398
1209919000-DEMAS SEMILLAS DE HORTALIZAS, PARA SIEMBRA|A_BASELINE|0.0|0.0|0.0|0.0575|5|609
1209919000-DEMAS SEMILLAS DE HORTALIZAS, PARA SIEMBRA|B_LOG|0.975|0.9556|1.0|0.9556|5|609
1209919000-DEMAS SEMILLAS DE HORTALIZAS, PARA SIEMBRA|C_WINS|0.0|0.0|0.0|0.0575|5|609
1209991000-SEMILLAS DE ARBOLES FRUTALES O FORESTALES, PARA SIEMBRA|A_BASELINE|0.0|0.0|0.0|0.203|5|59
